Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jan/15;FNDE;153173 / 15253;2604077590
jan/15;INCRA;373001 / 37201;181456016
jan/15;SENAI;33.564.543/0001-90;219119330
jan/15;SESI;33.641.358/0001-52;313370139
jan/15;SENAC;33.469.172/0001-68;334005249
jan/15;SESC;33.469.164/0001-11;597447338
jan/15;SEBRAE;00.330.854/0001-45;428247534
jan/15;EMBRATUR;35.842.428/0001-66;0
jan/15;DPC;852001 / 00001;20988896
jan/15;ANAC;122002 / 00001;30221162
jan/15;SENAR;37.138.245/0001-90;40999819
jan/15;SEST;73.471.989/0001-95;57041322
jan/15;SENAT;73.471.963/0001-47;37293612
jan/15;SESCOOP;03.087.543/0001-86;39616737
jan/15;SDR;420013 / 00001;32001111
jan/15;APEX-BR;05.507.500/0001-38;62241408
jan/15;ABDI;07.200.966/0001-11;8917017
fev/15;FNDE;153173 / 15253;1526976201
fev/15;INCRA;373001 / 37201;106202613
fev/15;SENAI;33.564.543/0001-90;135090247
fev/15;SESI;33.641.358/0001-52;193889080
fev/15;SENAC;33.469.172/0001-68;199378928
fev/15;SESC;33.469.164/0001-11;355385173
fev/15;SEBRAE;00.330.854/0001-45;253753729
fev/15;EMBRATUR;35.842.428/0001-66;0
fev/15;DPC;852001 / 00001;12376606
fev/15;ANAC;122002 / 00001;17622443
fev/15;SENAR;37.138.245/0001-90;39006482
fev/15;SEST;73.471.989/0001-95;34810740
fev/15;SENAT;73.471.963/0001-47;22063632
fev/15;SESCOOP;03.087.543/0001-86;22396117
fev/15;SDR;420013 / 00001;18728858
fev/15;APEX-BR;05.507.500/0001-38;36879718
fev/15;ABDI;07.200.966/0001-11;5283568
mar/15;FNDE;153173 / 15253;1497863152
mar/15;INCRA;373001 / 37201;104401840
mar/15;SENAI;33.564.543/0001-90;130078300
mar/15;SESI;33.641.358/0001-52;186597391
mar/15;SENAC;33.469.172/0001-68;194608000
mar/15;SESC;33.469.164/0001-11;350007688
mar/15;SEBRAE;00.330.854/0001-45;250133611
mar/15;EMBRATUR;35.842.428/0001-66;0
mar/15;DPC;852001 / 00001;12688337
mar/15;ANAC;122002 / 00001;17651320
mar/15;SENAR;37.138.245/0001-90;38444869
mar/15;SEST;73.471.989/0001-95;35367894
mar/15;SENAT;73.471.963/0001-47;22303291
mar/15;SESCOOP;03.087.543/0001-86;22938132
mar/15;SDR;420013 / 00001;18417897
mar/15;APEX-BR;05.507.500/0001-38;35640967
mar/15;ABDI;07.200.966/0001-11;5106097
abr/15;FNDE;153173 / 15253;1491264359
abr/15;INCRA;373001 / 37201;104205840
